street_id,line_id,voltage,current_in,current_out,leakage_current,load_kw,power_factor,temperature_c,humidity,time_slot,fault
159,6,229.86,8.68,7.72,0.96,1.77,0.85,25.29,71.52,2025-01-01 01:50:00,NORMAL
120,44,228.04,9.48,8.68,0.8,1.98,0.9,79.56,80.87,2025-01-01 01:55:00,NORMAL
132,43,221.97,9.58,9.5,0.08,2.11,0.99,12.46,51.57,2025-01-01 02:00:00,NORMAL
175,35,230.35,11.54,11.93,0.39,2.75,0.97,23.07,39.99,2025-01-01 02:05:00,NORMAL
157,34,227.4,7.72,8.4,0.68,1.91,0.89,60.92,48.5,2025-01-01 02:10:00,NORMAL
121,38,221.29,8.83,9.15,0.32,2.02,0.75,58.77,54.72,2025-01-01 02:15:00,NORMAL
188,5,231.59,9.63,9.27,0.36,2.15,0.99,70.56,67.81,2025-01-01 02:20:00,NORMAL
148,18,233.64,10.52,10.39,0.13,2.43,1.0,46.57,54.57,2025-01-01 02:25:00,NORMAL
190,16,226.62,11.73,12.0,0.27,2.72,0.73,31.15,83.82,2025-01-01 02:30:00,NORMAL
158,8,239.32,10.62,10.62,0.0,2.54,0.84,45.98,54.07,2025-01-01 02:35:00,NORMAL
141,25,232.64,13.5,12.44,1.06,2.89,0.86,57.78,40.88,2025-01-01 02:40:00,LEAKAGE_WARNING
191,32,217.16,8.02,7.26,0.76,1.58,0.73,34.58,44.9,2025-01-01 02:45:00,NORMAL
159,26,243.37,12.92,11.84,1.08,2.88,0.76,29.0,57.91,2025-01-01 02:50:00,LEAKAGE_WARNING
179,22,237.67,8.09,8.23,0.14,1.96,0.86,45.48,76.95,2025-01-01 02:55:00,NORMAL
114,31,240.02,9.21,8.61,0.6,2.07,0.99,34.17,82.16,2025-01-01 03:00:00,NORMAL
161,43,234.01,10.77,10.22,0.55,2.39,0.71,42.39,41.12,2025-01-01 03:05:00,NORMAL
161,10,206.62,12.36,11.43,0.93,2.36,0.97,35.73,30.21,2025-01-01 03:10:00,NORMAL
146,12,240.93,9.21,9.0,0.21,2.17,0.97,53.74,82.16,2025-01-01 03:15:00,NORMAL
161,28,230.61,10.79,10.98,0.19,2.53,0.96,38.25,43.69,2025-01-01 03:20:00,NORMAL
150,6,233.53,9.37,9.62,0.25,2.25,0.81,37.23,79.3,2025-01-01 03:25:00,NORMAL
154,20,235.4,5.41,5.22,0.19,1.23,0.85,55.58,63.04,2025-01-01 03:30:00,NORMAL
163,5,249.36,9.92,9.68,0.24,2.41,0.82,28.35,54.25,2025-01-01 03:35:00,NORMAL
102,23,224.54,7.52,7.18,0.34,1.61,0.98,31.41,38.81,2025-01-01 03:40:00,NORMAL
150,9,224.8,12.54,13.04,0.5,2.93,0.86,50.08,70.32,2025-01-01 03:45:00,NORMAL
106,29,221.49,12.56,11.71,0.85,2.59,0.72,31.88,79.09,2025-01-01 03:50:00,NORMAL
120,16,219.3,8.33,8.81,0.48,1.93,0.78,64.51,57.67,2025-01-01 03:55:00,NORMAL
172,46,219.48,8.02,7.17,0.85,1.57,0.84,29.2,56.78,2025-01-01 04:00:00,NORMAL
138,22,211.48,8.74,8.7,0.04,1.84,0.99,43.21,75.32,2025-01-01 04:05:00,NORMAL
117,8,234.27,11.06,9.94,1.12,2.33,0.87,31.98,60.01,2025-01-01 04:10:00,LEAKAGE_WARNING
103,20,249.88,11.07,11.74,0.67,2.93,0.91,66.94,77.14,2025-01-01 04:15:00,NORMAL
188,14,250.52,16.82,16.03,0.79,4.02,0.73,29.16,33.25,2025-01-01 04:20:00,NORMAL
159,39,221.48,9.38,9.7,0.32,2.15,0.96,73.77,81.46,2025-01-01 04:25:00,NORMAL
113,37,227.28,10.18,10.53,0.35,2.39,0.86,46.25,45.72,2025-01-01 04:30:00,NORMAL
108,34,242.33,13.86,12.83,1.03,3.11,0.98,42.23,40.15,2025-01-01 04:35:00,LEAKAGE_WARNING
189,11,234.32,10.57,9.99,0.58,2.34,0.83,13.71,31.94,2025-01-01 04:40:00,NORMAL
152,40,231.35,7.82,8.36,0.54,1.93,0.9,69.99,80.04,2025-01-01 04:45:00,NORMAL
101,33,227.43,10.68,10.38,0.3,2.36,0.84,52.62,33.61,2025-01-01 04:50:00,NORMAL
183,31,241.78,11.41,10.51,0.9,2.54,0.74,26.71,87.27,2025-01-01 04:55:00,NORMAL
191,44,219.27,9.32,8.84,0.48,1.94,0.78,37.18,63.89,2025-01-01 05:00:00,NORMAL
159,34,234.81,11.59,11.37,0.22,2.67,0.72,20.19,71.92,2025-01-01 05:05:00,NORMAL
170,7,233.45,11.41,10.63,0.78,2.48,0.83,33.33,73.52,2025-01-01 05:10:00,NORMAL
143,49,230.43,9.08,8.7,0.38,2.0,0.89,43.28,47.56,2025-01-01 05:15:00,NORMAL
107,23,237.88,13.1,13.73,0.63,3.27,0.77,69.55,78.39,2025-01-01 05:20:00,NORMAL
146,46,230.34,8.43,8.18,0.25,1.88,0.85,82.38,86.77,2025-01-01 05:25:00,OVERHEAT
134,7,224.65,10.87,10.43,0.44,2.34,0.84,53.0,52.19,2025-01-01 05:30:00,NORMAL
177,25,230.93,8.8,8.49,0.31,1.96,0.86,21.65,80.12,2025-01-01 05:35:00,NORMAL
180,3,214.08,6.61,6.61,0.0,1.42,0.76,79.94,76.32,2025-01-01 05:40:00,NORMAL
135,38,236.13,10.72,10.29,0.43,2.43,0.86,18.42,65.38,2025-01-01 05:45:00,NORMAL
149,20,238.68,13.86,13.57,0.29,3.24,0.81,57.88,52.06,2025-01-01 05:50:00,NORMAL
103,34,223.43,9.89,10.69,0.8,2.39,0.79,45.99,54.91,2025-01-01 05:55:00,NORMAL
101,49,221.05,7.01,7.47,0.46,1.65,0.88,63.49,48.46,2025-01-01 06:00:00,NORMAL
105,44,223.8,10.44,10.08,0.36,2.26,0.74,33.67,55.58,2025-01-01 06:05:00,NORMAL
153,44,229.37,8.36,7.79,0.57,1.79,0.97,60.52,89.38,2025-01-01 06:10:00,NORMAL
103,30,232.16,12.11,12.3,0.19,2.86,0.98,66.77,51.8,2025-01-01 06:15:00,NORMAL
153,17,246.15,9.54,8.97,0.57,2.21,0.9,51.15,69.93,2025-01-01 06:20:00,NORMAL
192,10,244.89,6.45,6.0,0.45,1.47,0.79,45.2,49.18,2025-01-01 06:25:00,NORMAL
162,35,238.32,11.02,10.91,0.11,2.6,0.89,60.31,58.0,2025-01-01 06:30:00,NORMAL
117,20,231.21,10.42,10.01,0.41,2.31,0.88,65.13,35.03,2025-01-01 06:35:00,NORMAL
189,18,220.73,9.4,9.0,0.4,1.99,0.82,38.01,75.79,2025-01-01 06:40:00,NORMAL
143,45,246.8,7.92,7.28,0.64,1.8,0.79,35.48,69.66,2025-01-01 06:45:00,NORMAL
133,44,227.52,13.58,12.92,0.66,2.94,0.75,35.33,50.85,2025-01-01 06:50:00,NORMAL
173,27,232.81,9.1,9.42,0.32,2.19,0.77,11.29,61.49,2025-01-01 06:55:00,NORMAL
161,49,236.27,11.79,11.96,0.17,2.83,0.9,59.0,82.33,2025-01-01 07:00:00,NORMAL
199,36,230.62,9.07,8.13,0.94,1.87,0.97,44.9,32.67,2025-01-01 07:05:00,NORMAL
113,23,241.51,11.36,10.72,0.64,2.59,0.82,40.74,85.81,2025-01-01 07:10:00,NORMAL
194,32,234.55,10.11,9.59,0.52,2.25,0.74,38.35,58.25,2025-01-01 07:15:00,NORMAL
147,10,239.89,10.06,9.46,0.6,2.27,0.7,51.56,81.58,2025-01-01 07:20:00,NORMAL
114,11,234.47,8.35,7.58,0.77,1.78,0.82,35.06,81.69,2025-01-01 07:25:00,NORMAL
171,38,229.62,11.06,10.79,0.27,2.48,0.77,58.46,33.52,2025-01-01 07:30:00,NORMAL
177,6,230.74,12.81,12.8,0.01,2.95,0.8,39.34,76.9,2025-01-01 07:35:00,NORMAL
186,41,229.38,7.93,7.45,0.48,1.71,0.77,27.79,73.97,2025-01-01 07:40:00,NORMAL
161,47,217.16,8.34,8.15,0.19,1.77,0.9,54.07,32.59,2025-01-01 07:45:00,NORMAL
139,34,219.99,15.89,14.92,0.97,3.28,0.89,31.96,86.43,2025-01-01 07:50:00,NORMAL
184,36,237.41,8.0,7.03,0.97,1.67,0.97,43.94,68.07,2025-01-01 07:55:00,NORMAL
179,37,217.41,8.89,8.24,0.65,1.79,0.91,59.03,40.05,2025-01-01 08:00:00,NORMAL
181,17,225.96,12.77,13.21,0.44,2.98,0.75,45.73,37.39,2025-01-01 08:05:00,NORMAL
152,40,219.5,12.83,13.18,0.35,2.89,0.93,46.62,63.72,2025-01-01 08:10:00,NORMAL
123,40,225.42,5.14,5.6,0.46,1.26,0.75,38.42,33.53,2025-01-01 08:15:00,NORMAL
125,12,228.45,11.53,11.24,0.29,2.57,0.87,47.52,39.86,2025-01-01 08:20:00,NORMAL
188,21,225.94,9.61,8.95,0.66,2.02,0.72,35.64,86.91,2025-01-01 08:25:00,NORMAL
159,40,215.72,9.7,9.65,0.05,2.08,0.71,52.91,74.68,2025-01-01 08:30:00,NORMAL
140,19,228.14,12.33,12.45,0.12,2.84,0.84,39.96,66.81,2025-01-01 08:35:00,NORMAL
128,3,220.41,9.3,9.05,0.25,1.99,0.73,42.17,42.53,2025-01-01 08:40:00,NORMAL
114,18,223.63,8.98,9.17,0.19,2.05,0.79,29.9,43.11,2025-01-01 08:45:00,NORMAL
144,19,237.41,9.36,9.03,0.33,2.14,0.8,52.76,56.75,2025-01-01 08:50:00,NORMAL
164,47,239.55,9.3,9.22,0.08,2.21,0.93,36.85,75.24,2025-01-01 08:55:00,NORMAL
188,6,216.89,10.69,10.82,0.13,2.35,0.8,28.6,30.24,2025-01-01 09:00:00,NORMAL
170,16,245.69,12.65,12.39,0.26,3.04,0.85,37.22,32.66,2025-01-01 09:05:00,NORMAL
108,8,224.9,10.86,10.22,0.64,2.3,0.93,57.22,82.21,2025-01-01 09:10:00,NORMAL
187,48,223.99,9.97,10.53,0.56,2.36,0.76,53.7,78.84,2025-01-01 09:15:00,NORMAL
100,18,221.08,11.09,10.81,0.28,2.39,0.94,11.44,71.68,2025-01-01 09:20:00,NORMAL
107,48,230.56,11.56,12.41,0.85,2.86,0.95,34.58,59.97,2025-01-01 09:25:00,NORMAL
187,43,249.82,11.16,11.09,0.07,2.77,1.0,66.58,38.71,2025-01-01 09:30:00,NORMAL
162,39,214.6,8.67,8.12,0.55,1.74,0.83,63.83,36.13,2025-01-01 09:35:00,NORMAL
110,49,209.43,10.85,10.14,0.71,2.12,0.81,26.2,84.32,2025-01-01 09:40:00,NORMAL
180,49,232.69,5.76,5.82,0.06,1.35,0.91,58.48,52.95,2025-01-01 09:45:00,NORMAL
107,12,235.69,13.07,13.14,0.07,3.1,0.72,23.43,71.74,2025-01-01 09:50:00,NORMAL
134,45,230.53,13.06,12.97,0.09,2.99,0.71,32.45,57.37,2025-01-01 09:55:00,NORMAL
134,10,235.96,11.78,12.13,0.35,2.86,0.8,28.94,73.86,2025-01-01 10:00:00,NORMAL
132,7,218.69,12.49,12.21,0.28,2.67,0.92,56.07,41.6,2025-01-01 10:05:00,NORMAL
104,46,220.55,9.85,10.15,0.3,2.24,0.73,45.5,59.07,2025-01-01 10:10:00,NORMAL
140,1,231.24,8.5,8.02,0.48,1.85,0.89,52.6,52.61,2025-01-01 10:15:00,NORMAL
127,49,247.58,7.49,7.65,0.16,1.89,0.78,15.6,44.7,2025-01-01 10:20:00,NORMAL
106,36,235.61,12.02,11.98,0.04,2.82,0.9,58.25,65.86,2025-01-01 10:25:00,NORMAL
172,21,236.07,8.5,8.05,0.45,1.9,0.84,69.54,62.22,2025-01-01 10:30:00,NORMAL
171,37,219.26,9.25,8.73,0.52,1.91,0.73,48.61,59.74,2025-01-01 10:35:00,NORMAL
111,24,234.22,10.45,9.96,0.49,2.33,0.77,74.8,65.47,2025-01-01 10:40:00,NORMAL
133,25,218.18,9.93,9.6,0.33,2.09,0.77,58.06,38.55,2025-01-01 10:45:00,NORMAL
132,7,247.68,10.53,10.87,0.34,2.69,0.75,72.1,52.23,2025-01-01 10:50:00,NORMAL
147,42,219.88,6.38,6.2,0.18,1.36,0.84,41.55,49.48,2025-01-01 10:55:00,NORMAL
122,17,222.04,9.53,9.42,0.11,2.09,0.99,49.81,76.15,2025-01-01 11:00:00,NORMAL
161,29,215.27,11.65,11.66,0.01,2.51,0.9,34.82,32.14,2025-01-01 11:05:00,NORMAL
187,30,230.86,9.14,8.9,0.24,2.05,0.95,23.23,46.92,2025-01-01 11:10:00,NORMAL
136,7,230.44,8.28,8.51,0.23,1.96,0.99,32.81,85.1,2025-01-01 11:15:00,NORMAL
198,33,245.13,11.91,11.73,0.18,2.88,0.86,49.27,48.02,2025-01-01 11:20:00,NORMAL
143,7,237.76,9.15,9.1,0.05,2.16,0.77,26.1,39.11,2025-01-01 11:25:00,NORMAL
185,24,222.09,10.37,10.4,0.03,2.31,0.98,46.7,75.44,2025-01-01 11:30:00,NORMAL
190,11,238.73,9.58,9.94,0.36,2.37,0.91,12.37,32.87,2025-01-01 11:35:00,NORMAL
134,9,217.56,10.0,10.37,0.37,2.26,0.99,40.04,55.58,2025-01-01 11:40:00,NORMAL
164,12,222.82,13.06,12.19,0.87,2.72,0.9,48.91,81.32,2025-01-01 11:45:00,NORMAL
198,35,231.18,11.14,10.88,0.26,2.52,0.93,34.43,87.25,2025-01-01 11:50:00,NORMAL
146,4,218.68,7.56,6.45,1.11,1.41,0.97,40.3,44.94,2025-01-01 11:55:00,LEAKAGE_WARNING
177,36,240.65,9.26,8.13,1.13,1.96,0.93,44.7,47.77,2025-01-01 12:00:00,LEAKAGE_WARNING
102,28,252.79,9.17,8.36,0.81,2.11,0.87,39.16,64.04,2025-01-01 12:05:00,NORMAL
100,13,227.05,10.43,10.87,0.44,2.47,0.84,49.28,43.59,2025-01-01 12:10:00,NORMAL
104,23,223.48,11.82,10.91,0.91,2.44,0.95,19.65,39.04,2025-01-01 12:15:00,NORMAL
189,19,228.7,10.06,9.92,0.14,2.27,0.93,27.2,55.56,2025-01-01 12:20:00,NORMAL
113,42,224.43,10.0,9.94,0.06,2.23,0.81,29.61,34.33,2025-01-01 12:25:00,NORMAL
126,37,232.62,5.54,5.55,0.01,1.29,0.85,41.82,83.65,2025-01-01 12:30:00,NORMAL
108,39,216.78,12.65,12.63,0.02,2.74,0.89,72.11,50.05,2025-01-01 12:35:00,NORMAL
178,24,233.19,9.66,9.26,0.4,2.16,0.71,53.69,50.18,2025-01-01 12:40:00,NORMAL
114,16,249.12,10.52,9.17,1.35,2.28,0.77,19.26,77.48,2025-01-01 12:45:00,LEAKAGE_WARNING
189,33,209.98,10.51,11.13,0.62,2.34,0.78,48.13,50.49,2025-01-01 12:50:00,NORMAL
141,12,218.31,8.46,7.29,1.17,1.59,0.96,36.73,75.65,2025-01-01 12:55:00,LEAKAGE_WARNING
176,34,225.55,9.51,8.56,0.95,1.93,0.8,38.18,40.87,2025-01-01 13:00:00,NORMAL
150,7,235.42,8.45,8.34,0.11,1.96,0.86,34.08,61.74,2025-01-01 13:05:00,NORMAL
162,11,238.9,12.77,12.82,0.05,3.06,0.95,40.8,76.11,2025-01-01 13:10:00,NORMAL
195,31,238.1,5.55,6.02,0.47,1.43,0.78,18.19,56.99,2025-01-01 13:15:00,NORMAL
151,29,213.08,8.09,8.34,0.25,1.78,0.74,43.17,34.31,2025-01-01 13:20:00,NORMAL
195,13,223.26,9.36,9.46,0.1,2.11,0.98,49.73,74.21,2025-01-01 13:25:00,NORMAL
103,31,221.0,12.99,12.84,0.15,2.84,0.91,32.97,59.64,2025-01-01 13:30:00,NORMAL
193,2,229.35,11.42,11.23,0.19,2.58,0.75,37.06,48.98,2025-01-01 13:35:00,NORMAL
122,39,230.18,6.72,6.14,0.58,1.41,0.95,27.08,89.57,2025-01-01 13:40:00,NORMAL
114,15,216.31,9.77,9.24,0.53,2.0,0.94,38.91,82.56,2025-01-01 13:45:00,NORMAL
142,11,225.6,11.44,11.12,0.32,2.51,0.95,46.34,32.27,2025-01-01 13:50:00,NORMAL
128,34,235.81,14.45,14.27,0.18,3.37,0.78,42.16,65.62,2025-01-01 13:55:00,NORMAL
135,39,223.72,9.32,8.55,0.77,1.91,0.83,54.81,51.27,2025-01-01 14:00:00,NORMAL
112,4,228.0,7.63,7.01,0.62,1.6,0.91,59.31,32.24,2025-01-01 14:05:00,NORMAL
131,11,246.97,10.64,10.22,0.42,2.52,0.82,36.14,30.68,2025-01-01 14:10:00,NORMAL
170,29,249.9,9.91,9.91,0.0,2.48,0.72,41.51,65.03,2025-01-01 14:15:00,NORMAL
158,2,208.39,10.93,10.18,0.75,2.12,0.74,28.44,49.21,2025-01-01 14:20:00,NORMAL
185,16,231.14,11.38,10.76,0.62,2.49,0.88,37.76,72.2,2025-01-01 14:25:00,NORMAL
127,39,259.17,10.64,10.56,0.08,2.74,0.81,45.77,57.27,2025-01-01 14:30:00,NORMAL
165,13,234.79,11.06,11.82,0.76,2.78,0.7,56.31,75.99,2025-01-01 14:35:00,NORMAL
141,37,230.18,13.27,13.02,0.25,3.0,0.93,43.52,78.78,2025-01-01 14:40:00,NORMAL
144,17,243.13,9.42,9.57,0.15,2.33,0.83,49.62,69.43,2025-01-01 14:45:00,NORMAL
161,21,232.18,7.55,6.99,0.56,1.62,0.79,24.94,55.08,2025-01-01 14:50:00,NORMAL
156,44,237.09,10.63,10.32,0.31,2.45,0.91,48.66,89.31,2025-01-01 14:55:00,NORMAL
105,19,227.9,7.44,8.08,0.64,1.84,0.84,31.96,48.4,2025-01-01 15:00:00,NORMAL
127,7,232.04,7.76,7.41,0.35,1.72,0.91,68.54,60.87,2025-01-01 15:05:00,NORMAL
127,38,234.27,8.36,7.3,1.06,1.71,0.7,72.22,61.22,2025-01-01 15:10:00,LEAKAGE_WARNING
143,8,238.66,7.5,7.38,0.12,1.76,0.7,68.14,55.7,2025-01-01 15:15:00,NORMAL
183,13,225.68,12.34,12.14,0.2,2.74,0.87,31.19,37.28,2025-01-01 15:20:00,NORMAL
129,37,225.41,10.1,10.07,0.03,2.27,0.99,54.85,51.24,2025-01-01 15:25:00,NORMAL
161,2,210.73,11.41,11.17,0.24,2.35,0.78,7.62,42.91,2025-01-01 15:30:00,NORMAL
174,41,226.13,11.02,10.05,0.97,2.27,0.9,61.05,83.99,2025-01-01 15:35:00,NORMAL
191,11,239.53,9.58,8.85,0.73,2.12,0.75,44.46,69.32,2025-01-01 15:40:00,NORMAL
188,24,234.63,11.92,12.01,0.09,2.82,0.79,17.66,47.27,2025-01-01 15:45:00,NORMAL
161,6,220.03,9.03,8.87,0.16,1.95,0.72,54.02,63.94,2025-01-01 15:50:00,NORMAL
196,26,210.96,9.66,9.46,0.2,2.0,0.96,39.81,81.19,2025-01-01 15:55:00,NORMAL
100,7,228.58,8.58,8.17,0.41,1.87,0.79,39.75,86.07,2025-01-01 16:00:00,NORMAL
126,39,239.24,12.8,12.38,0.42,2.96,0.77,52.9,34.5,2025-01-01 16:05:00,NORMAL
161,19,225.21,9.79,9.64,0.15,2.17,0.92,59.97,77.21,2025-01-01 16:10:00,NORMAL
176,6,215.55,11.2,11.62,0.42,2.5,0.76,49.0,87.98,2025-01-01 16:15:00,NORMAL
102,43,224.1,8.84,8.7,0.14,1.95,0.77,10.52,58.03,2025-01-01 16:20:00,NORMAL
169,29,233.26,11.69,11.67,0.02,2.72,0.73,48.97,89.73,2025-01-01 16:25:00,NORMAL
171,43,242.42,11.55,11.8,0.25,2.86,0.99,29.42,87.42,2025-01-01 16:30:00,NORMAL
126,39,227.43,6.75,6.16,0.59,1.4,0.77,52.17,69.41,2025-01-01 16:35:00,NORMAL
108,2,240.55,10.01,9.8,0.21,2.36,1.0,49.82,80.86,2025-01-01 16:40:00,NORMAL
161,19,239.44,10.23,10.55,0.32,2.53,0.75,40.1,47.79,2025-01-01 16:45:00,NORMAL
136,4,218.23,9.4,8.21,1.19,1.79,0.71,42.76,85.05,2025-01-01 16:50:00,LEAKAGE_WARNING
196,6,242.51,12.77,12.36,0.41,3.0,0.97,17.16,65.51,2025-01-01 16:55:00,NORMAL
150,49,232.95,7.57,6.97,0.6,1.62,0.87,68.2,60.58,2025-01-01 17:00:00,NORMAL
143,37,217.93,9.1,8.38,0.72,1.83,0.81,48.78,80.14,2025-01-01 17:05:00,NORMAL
123,28,247.61,8.3,8.32,0.02,2.06,0.85,47.68,83.37,2025-01-01 17:10:00,NORMAL
178,30,228.74,12.06,11.59,0.47,2.65,0.78,48.38,72.07,2025-01-01 17:15:00,NORMAL
158,7,210.57,7.94,8.7,0.76,1.83,0.89,16.74,31.5,2025-01-01 17:20:00,NORMAL
131,9,222.94,6.33,5.65,0.68,1.26,0.88,58.45,65.83,2025-01-01 17:25:00,NORMAL
195,25,220.48,10.86,10.69,0.17,2.36,0.72,37.64,79.3,2025-01-01 17:30:00,NORMAL
187,33,223.18,9.72,9.26,0.46,2.07,0.97,45.42,62.72,2025-01-01 17:35:00,NORMAL
151,1,225.55,12.08,11.92,0.16,2.69,0.84,34.65,86.09,2025-01-01 17:40:00,NORMAL
161,6,227.43,11.62,10.51,1.11,2.39,0.76,25.27,83.84,2025-01-01 17:45:00,LEAKAGE_WARNING
157,18,227.05,9.92,9.11,0.81,2.07,0.79,35.48,61.78,2025-01-01 17:50:00,NORMAL
151,10,229.03,7.11,8.22,1.11,1.88,0.96,40.76,54.23,2025-01-01 17:55:00,LEAKAGE_WARNING
111,28,235.87,7.6,7.12,0.48,1.68,0.81,43.42,33.3,2025-01-01 18:00:00,NORMAL
138,11,222.54,6.45,6.39,0.06,1.42,0.87,36.05,67.96,2025-01-01 18:05:00,NORMAL
101,33,241.81,9.72,9.22,0.5,2.23,0.98,42.01,45.96,2025-01-01 18:10:00,NORMAL
102,1,217.75,8.68,8.19,0.49,1.78,0.9,39.05,70.11,2025-01-01 18:15:00,NORMAL
155,13,236.15,9.64,9.81,0.17,2.32,0.9,23.02,77.93,2025-01-01 18:20:00,NORMAL
180,37,246.43,10.35,10.21,0.14,2.52,0.77,43.09,54.52,2025-01-01 18:25:00,NORMAL
158,20,228.23,13.8,14.11,0.31,3.22,0.9,43.09,30.94,2025-01-01 18:30:00,NORMAL
101,1,231.93,11.16,10.22,0.94,2.37,0.82,33.14,81.92,2025-01-01 18:35:00,NORMAL
101,3,220.32,10.14,9.78,0.36,2.15,0.97,57.53,62.94,2025-01-01 18:40:00,NORMAL
191,18,224.88,6.87,6.45,0.42,1.45,0.74,43.45,48.89,2025-01-01 18:45:00,NORMAL
153,41,245.68,10.05,9.7,0.35,2.38,0.79,49.43,68.03,2025-01-01 18:50:00,NORMAL
186,14,237.48,11.76,12.09,0.33,2.87,0.72,30.68,70.46,2025-01-01 18:55:00,NORMAL
195,31,234.19,10.78,10.26,0.52,2.4,0.81,33.5,38.85,2025-01-01 19:00:00,NORMAL
196,27,210.62,7.9,6.81,1.09,1.43,0.74,39.49,68.78,2025-01-01 19:05:00,LEAKAGE_WARNING
100,17,222.84,9.25,9.83,0.58,2.19,0.95,25.47,47.2,2025-01-01 19:10:00,NORMAL
118,46,247.39,10.15,9.91,0.24,2.45,0.98,16.04,78.22,2025-01-01 19:15:00,NORMAL
101,29,234.11,9.18,8.6,0.58,2.01,0.9,64.15,86.49,2025-01-01 19:20:00,NORMAL
152,36,235.36,8.77,8.94,0.17,2.1,0.73,35.17,36.16,2025-01-01 19:25:00,NORMAL
143,37,231.71,5.71,5.14,0.57,1.19,0.8,41.68,85.04,2025-01-01 19:30:00,NORMAL
189,26,223.87,8.46,8.24,0.22,1.84,0.99,48.2,84.21,2025-01-01 19:35:00,NORMAL
131,17,233.33,10.5,10.66,0.16,2.49,0.74,40.72,50.57,2025-01-01 19:40:00,NORMAL
169,22,214.7,11.75,12.8,1.05,2.75,0.87,26.96,31.73,2025-01-01 19:45:00,LEAKAGE_WARNING
131,25,213.95,10.15,10.0,0.15,2.14,0.81,59.56,69.79,2025-01-01 19:50:00,NORMAL
167,2,222.65,12.12,11.96,0.16,2.66,1.0,36.81,50.68,2025-01-01 19:55:00,NORMAL
154,22,231.92,9.84,8.98,0.86,2.08,0.79,53.54,41.5,2025-01-01 20:00:00,NORMAL
174,5,214.3,8.24,7.87,0.37,1.69,0.71,65.91,36.51,2025-01-01 20:05:00,NORMAL
155,4,231.27,9.05,9.11,0.06,2.11,0.91,25.3,41.76,2025-01-01 20:10:00,NORMAL
116,36,220.05,11.0,11.59,0.59,2.55,0.8,57.08,44.25,2025-01-01 20:15:00,NORMAL
137,6,221.4,9.46,8.82,0.64,1.95,0.9,46.47,77.75,2025-01-01 20:20:00,NORMAL
123,21,243.0,8.72,8.46,0.26,2.06,0.73,31.32,77.03,2025-01-01 20:25:00,NORMAL
168,13,230.37,6.88,6.88,0.0,1.58,0.86,51.36,59.66,2025-01-01 20:30:00,NORMAL
197,37,220.96,8.21,8.28,0.07,1.83,0.81,46.56,63.2,2025-01-01 20:35:00,NORMAL
169,25,231.87,9.21,8.39,0.82,1.95,0.86,35.82,85.07,2025-01-01 20:40:00,NORMAL
185,26,215.3,8.84,7.94,0.9,1.71,0.96,73.55,84.48,2025-01-01 20:45:00,NORMAL
